UF;Municipio ;serpro;cod_IBGE
AC;ACRELANDIA;0643;1200013
AC;ASSIS BRASIL;0157;1200054
AC;BRASILEIA;0105;1200104
AC;BUJARI;0645;1200138
AC;CAPIXABA;0647;1200179
AC;CRUZEIRO DO SUL;0107;1200203
AC;EPITACIOLANDIA;0651;1200252
AC;FEIJO;0113;1200302
AC;JORDAO;0653;1200328
AC;MANCIO LIMA;0109;1200336
AC;MANOEL URBANO;0155;1200344
AC;MARECHAL THAUMATURGO;0655;1200351
AC;PLACIDO DE CASTRO;0151;1200385
AC;PORTO ACRE;0649;1200807
AC;PORTO WALTER;0657;1200393
AC;RIO BRANCO;0139;1200401
AC;RODRIGUES ALVES;0659;1200427
AC;SANTA ROSA DO PURUS;0661;1200435
AC;SENA MADUREIRA;0145;1200500
AC;SENADOR GUIOMARD;0153;1200450
AC;TARAUACA;0147;1200609
AC;XAPURI;0149;1200708
AL;AGUA BRANCA;2701;2700102
AL;ANADIA;2703;2700201
AL;ARAPIRACA;2705;2700300
AL;ATALAIA;2707;2700409
AL;BARRA DE SANTO ANTONIO;2709;2700508
AL;BARRA DE SAO MIGUEL;2711;2700607
AL;BATALHA;2713;2700706
AL;BELEM;2715;2700805
AL;BELO MONTE;2717;2700904
AL;BOCA DA MATA;2719;2701001
AL;BRANQUINHA;2721;2701100
AL;CACIMBINHAS;2723;2701209
AL;CAJUEIRO;2725;2701308
AL;CAMPESTRE;0560;2701357
AL;CAMPO ALEGRE;2727;2701407
AL;CAMPO GRANDE;2729;2701506
AL;CANAPI;2731;2701605
AL;CAPELA;2733;2701704
AL;CARNEIROS;2735;2701803
AL;CHA PRETA;2737;2701902
AL;COITE DO NOIA;2739;2702009
AL;COLONIA LEOPOLDINA;2741;2702108
AL;COQUEIRO SECO;2743;2702207
AL;CORURIPE;2745;2702306
AL;CRAIBAS;2889;2702355
AL;DELMIRO GOUVEIA;2747;2702405
AL;DOIS RIACHOS;2749;2702504
AL;ESTRELA DE ALAGOAS;2643;2702553
AL;FEIRA GRANDE;2751;2702603
AL;FELIZ DESERTO;2753;2702702
AL;FLEXEIRAS;2755;2702801
AL;GIRAU DO PONCIANO;2757;2702900
AL;IBATEGUARA;2759;2703007
AL;IGACI;2761;2703106
AL;IGREJA NOVA;2763;2703205
AL;INHAPI;2765;2703304
AL;JACARE DOS HOMENS;2767;2703403
AL;JACUIPE;2769;2703502
AL;JAPARATINGA;2771;2703601
AL;JARAMATAIA;2773;2703700
AL;JEQUIA DA PRAIA;0562;2703759
AL;JOAQUIM GOMES;2775;2703809
AL;JUNDIA;2777;2703908
AL;JUNQUEIRO;2779;2704005
AL;LAGOA DA CANOA;2781;2704104
AL;LIMOEIRO DE ANADIA;2783;2704203
AL;MACEIO;2785;2704302
AL;MAJOR ISIDORO;2787;2704401
AL;MAR VERMELHO;2797;2704906
AL;MARAGOGI;2789;2704500
AL;MARAVILHA;2791;2704609
AL;MARECHAL DEODORO;2793;2704708
AL;MARIBONDO;2795;2704807
AL;MATA GRANDE;2799;2705002
AL;MATRIZ DE CAMARAGIBE;2801;2705101
AL;MESSIAS;2803;2705200
AL;MINADOR DO NEGRAO;2805;2705309
AL;MONTEIROPOLIS;2807;2705408
AL;MURICI;2809;2705507
AL;NOVO LINO;2811;2705606
AL;OLHO D'AGUA DAS FLORES;2813;2705903
AL;OLHO D'AGUA DO CASADO;2815;2705804
AL;OLHO D'AGUA GRANDE;2817;2705705
AL;OLIVENCA;2819;2706000
AL;OURO BRANCO;2821;2706109
AL;PALESTINA;2823;2706208
AL;PALMEIRA DOS INDIOS;2825;2706307
AL;PAO DE ACUCAR;2827;2706406
AL;PARICONHA;2645;2706422
AL;PARIPUEIRA;2641;2706448
AL;PASSO DE CAMARAGIBE;2829;2706505
AL;PAULO JACINTO;2831;2706604
AL;PENEDO;2833;2706703
AL;PIACABUCU;2835;2706802
AL;PILAR;2837;2706901
AL;PINDOBA;2839;2707008
AL;PIRANHAS;2841;2707107
AL;POCO DAS TRINCHEIRAS;2843;2707206
AL;PORTO CALVO;2845;2707305
AL;PORTO DE PEDRAS;2847;2707404
AL;PORTO REAL DO COLEGIO;2849;2707503
AL;QUEBRANGULO;2851;2707602
AL;RIO LARGO;2853;2707701
AL;ROTEIRO;2855;2707800
AL;SANTA LUZIA DO NORTE;2857;2707909
AL;SANTANA DO IPANEMA;2859;2708006
AL;SANTANA DO MUNDAU;2861;2708105
AL;SAO BRAS;2863;2708204
AL;SAO JOSE DA LAJE;2865;2708303
AL;SAO JOSE DA TAPERA;2867;2708402
AL;SAO LUIS DO QUITUNDE;2869;2708501
AL;SAO MIGUEL DOS CAMPOS;2871;2708600
AL;SAO MIGUEL DOS MILAGRES;2873;2708709
AL;SAO SEBASTIAO;2875;2708808
AL;SATUBA;2877;2708907
AL;SENADOR RUI PALMEIRA;2891;2708956
AL;TANQUE D'ARCA;2879;2709004
AL;TAQUARANA;2881;2709103
AL;TEOTONIO VILELA;0971;2709152
AL;TRAIPU;2883;2709202
AL;UNIAO DOS PALMARES;2885;2709301
AL;VICOSA;2887;2709400
AM;ALVARAES; 0289 ;1300029
AM;AMATURA; 0291 ;1300060
AM;ANAMA; 0293 ;1300086
AM;ANORI; 0203 ;1300102
AM;APUI; 0969 ;1300144
AM;ATALAIA DO NORTE; 0205 ;1300201
AM;AUTAZES; 0207 ;1300300
AM;BARCELOS; 0209 ;1300409
AM;BARREIRINHA; 0211 ;1300508
AM;BENJAMIN CONSTANT; 0213 ;1300607
AM;BERURI; 0295 ;1300631
AM;BOA VISTA DO RAMOS; 0297 ;1300680
AM;BOCA DO ACRE; 0215 ;1300706
AM;BORBA; 0217 ;1300805
AM;CAAPIRANGA; 0299 ;1300839
AM;CANUTAMA; 0219 ;1300904
AM;CARAUARI; 0221 ;1301001
AM;CAREIRO; 0223 ;1301100
AM;CAREIRO DA VARZEA; 0965 ;1301159
AM;COARI; 0225 ;1301209
AM;CODAJAS; 0227 ;1301308
AM;EIRUNEPE; 0229 ;1301407
AM;ENVIRA; 0231 ;1301506
AM;FONTE BOA; 0233 ;1301605
AM;GUAJARA; 0967 ;1301654
AM;HUMAITA; 0235 ;1301704
AM;IPIXUNA; 0239 ;1301803
AM;IRANDUBA; 9835 ;1301852
AM;ITACOATIARA; 0241 ;1301902
AM;ITAMARATI; 9837 ;1301951
