CO_MUNICIP;CO_MUNICIP_IBGE;DS_NOMEPAD;CO_REGSAUD;DS_NOME;CO_MACSAUD;DS_NOME2;CO_UF;UF;REGIAO;;;;;;;;;;;;;;;;;;
110001;1100015;ALTA FLORESTA D'OESTE;11005;ZONA DA MATA;1101;MACRORREGIONAL II (CACOAL);11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110002;1100023;ARIQUEMES;11001;VALE DO JAMARI;1102;MACRORREGIAO I - PORTO VELHO;11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110003;1100031;CABIXI;11006;CONE SUL;1101;MACRORREGIONAL II (CACOAL);11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110004;1100049;CACOAL;11002;CAFE;1101;MACRORREGIONAL II (CACOAL);11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110005;1100056;CEREJEIRAS;11006;CONE SUL;1101;MACRORREGIONAL II (CACOAL);11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110006;1100064;COLORADO DO OESTE;11006;CONE SUL;1101;MACRORREGIONAL II (CACOAL);11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110007;1100072;CORUMBIARA;11006;CONE SUL;1101;MACRORREGIONAL II (CACOAL);11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110008;1100080;CORUMBIARA;11007;VALE DO GUAPORE;1101;MACRORREGIONAL II (CACOAL);11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110009;1100098;ESPIGAO D'OESTE;11002;CAFE;1101;MACRORREGIONAL II (CACOAL);11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110010;1100106;GUAJARA-MIRIM;11004;MADEIRA-MAMORE;1102;MACRORREGIAO I - PORTO VELHO;11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110011;1100114;JARU;11003;CENTRAL;1102;MACRORREGIAO I - PORTO VELHO;11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110012;1100122;JI-PARANA;11003;CENTRAL;1101;MACRORREGIONAL II (CACOAL);11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110013;1100130;MACHADINHO D'OESTE;11001;VALE DO JAMARI;1102;MACRORREGIAO I - PORTO VELHO;11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110014;1100148;NOVA BRASILANDIA D'OESTE;11005;ZONA DA MATA;1101;MACRORREGIONAL II (CACOAL);11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110015;1100155;OURO PRETO DO OESTE;11003;CENTRAL;1101;MACRORREGIONAL II (CACOAL);11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110018;1100189;PIMENTA BUENO;11002;CAFE;1101;MACRORREGIONAL II (CACOAL);11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110020;1100205;PORTO VELHO;11004;MADEIRA-MAMORE;1102;MACRORREGIAO I - PORTO VELHO;11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
110025;1100254;PRESIDENTE MEDICI;11003;CENTRAL;1101;MACRORREGIONAL II (CACOAL);11;Rondônia;NORTE;;;;;;;;;;;;;;;;;;
