ibge;municipio;ano;populacao
110001;Alta Floresta D'Oeste;2015;23835
110037;Alto Alegre dos Parecis;2015;13184
110040;Alto Paraíso;2015;19705
110034;Alvorada D'Oeste;2015;15664
110002;Ariquemes;2015;101048
110045;Buritis;2015;36771
110003;Cabixi;2015;5819
110060;Cacaulândia;2015;6070
110004;Cacoal;2015;83164
110070;Campo Novo de Rondônia;2015;13617
110080;Candeias do Jamari;2015;23839
110090;Castanheiras;2015;3320
110005;Cerejeiras;2015;16810
110092;Chupinguaia;2015;9993
110006;Colorado do Oeste;2015;17270
110007;Corumbiara;2015;8097
110008;Costa Marques;2015;16414
110094;Cujubim;2015;21239
110009;Espigão D'Oeste;2015;31057
110100;Governador Jorge Teixeira;2015;9088
110010;Guajará-Mirim;2015;44603
110110;Itapuã do Oeste;2015;9710
110011;Jaru;2015;52410
110012;Ji-Paraná;2015;124700
110013;Machadinho D'Oeste;2015;36395
110120;Ministro Andreazza;2015;10072
110130;Mirante da Serra;2015;11480
110140;Monte Negro;2015;15218
110014;Nova Brasilândia D'Oeste;2015;20413
110033;Nova Mamoré;2015;27261
110143;Nova União;2015;7278
110050;Novo Horizonte do Oeste;2015;9395
110015;Ouro Preto do Oeste;2015;37261
110145;Parecis;2015;5565
110018;Pimenta Bueno;2015;35752
110146;Pimenteiras do Oeste;2015;2258
110020;Porto Velho;2015;489272
110025;Presidente Médici;2015;20688
110147;Primavera de Rondônia;2015;3188
110026;Rio Crespo;2015;3600
110028;Rolim de Moura;2015;53627
110029;Santa Luzia D'Oeste;2015;7643
110148;São Felipe D'Oeste;2015;5608
110149;São Francisco do Guaporé;2015;18560
110032;São Miguel do Guaporé;2015;22708
110150;Seringueiras;2015;11875
110155;Teixeirópolis;2015;4614
110160;Theobroma;2015;10644
110170;Urupá;2015;12266
110175;Vale do Anari;2015;10496
110180;Vale do Paraíso;2015;7521
110030;Vilhena;2015;90178
120001;Acrelândia;2015;14318
120005;Assis Brasil;2015;6951
120010;Brasiléia;2015;24574
120013;Bujari;2015;9650
120017;Capixaba;2015;10632
120020;Cruzeiro do Sul;2015;85587
120025;Epitaciolândia;2015;17265
120030;Feijó;2015;34364
120032;Jordão;2015;7690
120033;Mâncio Lima;2015;17635
120034;Manoel Urbano;2015;8971
120035;Marechal Thaumaturgo;2015;17132
120038;Plácido de Castro;2015;18982
120080;Porto Acre;2015;17219
120039;Porto Walter;2015;10944
120040;Rio Branco;2015;382864
120042;Rodrigues Alves;2015;17241
120043;Santa Rosa do Purus;2015;5831
120050;Sena Madureira;2015;43187
120045;Senador Guiomard;2015;22174
120060;Tarauacá;2015;40224
120070;Xapuri;2015;18230
130002;Alvarães;2015;15315
130006;Amaturá;2015;10719
130008;Anamã;2015;12226
