uf;cod_uf;municipio;ibge;populacao;2021;2020;2019
GO;52;50;5200050;Abadia de Goiás;9158;8958;8773
MG;31;104;3100104;Abadia dos Dourados;7022;7006;6989
GO;52;100;5200100;Abadiânia;20873;20461;20042
MG;31;203;3100203;Abaeté;23263;23250;23237
PA;15;107;1500107;Abaetetuba;160439;159080;157698
CE;23;101;2300101;Abaiara;11965;11853;11737
BA;29;108;2900108;Abaíra;8681;8710;8739
BA;29;207;2900207;Abaré;20594;20347;20086
PR;41;103;4100103;Abatiá;7360;7408;7457
SC;42;51;4200051;Abdon Batista;2534;2548;2563
PA;15;131;1500131;Abel Figueiredo;7536;7486;7434
SC;42;101;4200101;Abelardo Luz;18015;17960;17904
MG;31;302;3100302;Abre Campo;13434;13444;13454
PE;26;54;2600054;Abreu e Lima;100698;100346;99990
TO;17;251;1700251;Abreulândia;2609;2594;2579
MG;31;401;3100401;Acaiaca;3995;3994;3994
MA;21;55;2100055;Açailândia;113783;113121;112445
BA;29;306;2900306;Acajutiba;15214;15187;15159
PA;15;206;1500206;Acará;55744;55669;55591
CE;23;150;2300150;Acarape;15140;15036;14929
CE;23;200;2300200;Acaraú;63556;63104;62641
RN;24;109;2400109;Acari;11106;11121;11136
PI;22;53;2200053;Acauã;7119;7102;7084
RS;43;34;4300034;Aceguá;4981;4942;4901
CE;23;309;2300309;Acopiara;54687;54481;54270
MT;51;102;5100102;Acorizal;5309;5334;5399
AC;12;13;1200013;Acrelândia;15721;15490;15256
GO;52;134;5200134;Acreúna;22710;22546;22366
RN;24;208;2400208;Açu;58743;58384;58017
MG;31;500;3100500;Açucena;9270;9368;9470
SP;35;105;3500105;Adamantina;35153;35111;35068
GO;52;159;5200159;Adelândia;2515;2516;2516
SP;35;204;3500204;Adolfo;3545;3554;3562
PR;41;202;4100202;Adrianópolis;5797;5857;5919
BA;29;355;2900355;Adustina;17209;17126;17040
PE;26;104;2600104;Afogados da Ingazeira;37546;37404;37259
RN;24;307;2400307;Afonso Bezerra;11024;11029;11035
ES;32;102;3200102;Afonso Cláudio;30326;30455;30586
MA;21;105;2100105;Afonso Cunha;6631;6578;6524
PE;26;203;2600203;Afrânio;19981;19810;19635
PA;15;305;1500305;Afuá;39910;39567;39218
PE;26;302;2600302;Agrestina;25240;25065;24885
PI;22;103;2200103;Agricolândia;5123;5131;5139
SC;42;200;4200200;Agrolândia;11160;11013;10864
SC;42;309;4200309;Agronômica;5570;5509;5448
PA;15;347;1500347;Água Azul do Norte;27797;27615;27430
MG;31;609;3100609;Água Boa;13319;13523;13735
MT;51;201;5100201;Água Boa;26679;26204;25721
PI;22;202;2200202;Água Branca;17525;17470;17411
PB;25;106;2500106;Água Branca;10375;10306;10234
AL;27;102;2700102;Água Branca;20263;20230;20196
MS;50;203;5000203;Água Clara;16025;15776;15522
MG;31;708;3100708;Água Comprida;1986;1992;1999
SC;42;408;4200408;Água Doce;7160;7152;7145
MA;21;154;2100154;Água Doce do Maranhão;12731;12652;12571
ES;32;169;3200169;Água Doce do Norte;10801;10909;11019
BA;29;405;2900405;Água Fria;17096;17033;16970
GO;52;175;5200175;Água Fria de Goiás;5843;5793;5735
GO;52;209;5200209;Água Limpa;1809;1830;1850
RN;24;406;2400406;Água Nova;3293;3272;3252
PE;26;401;2600401;Água Preta;37386;37082;36771
RS;43;59;4300059;Água Santa;3738;3743;3748
SP;35;303;3500303;Aguaí;36981;36648;36305
MG;31;807;3100807;Aguanil;4557;4522;4486
PE;26;500;2600500;Águas Belas;43923;43686;43443
SP;35;402;3500402;Águas da Prata;8262;8221;8180
SC;42;507;4200507;Águas de Chapecó;6544;6515;6486
SP;35;501;3500501;Águas de Lindóia;18908;18808;18705
SP;35;550;3500550;Águas de Santa Bárbara;6142;6109;6075
SP;35;600;3500600;Águas de São Pedro;3588;3521;3451
MG;31;906;3100906;Águas Formosas;19285;19247;19207
SC;42;556;4200556;Águas Frias;2341;2354;2366
GO;52;258;5200258;Águas Lindas de Goiás;222850;217698;212440
SC;42;606;4200606;Águas Mornas;6646;6559;6469
MG;31;1003;3101003;Águas Vermelhas;13656;13599;13539
RS;43;109;4300109;Agudo;16344;16401;16461
SP;35;709;3500709;Agudos;37582;37401;37214
PR;41;301;4100301;Agudos do Sul;9567;9470;9371
ES;32;136;3200136;Águia Branca;9621;9631;9642
PB;25;205;2500205;Aguiar;5622;5630;5640
TO;17;301;1700301;Aguiarnópolis;7049;6892;6733
MG;31;1102;3101102;Aimorés;25116;25141;25167
BA;29;603;2900603;Aiquara;4387;4416;4446
CE;23;408;2300408;Aiuaba;17584;17493;17399
MG;31;1201;3101201;Aiuruoca;5949;5976;6003
RS;43;208;4300208;Ajuricaba;6951;6987;7024
MG;31;1300;3101300;Alagoa;2657;2665;2674
PB;25;304;2500304;Alagoa Grande;28384;28439;28496
PB;25;403;2500403;Alagoa Nova;20992;20921;20849
PB;25;502;2500502;Alagoinha;14629;14560;14489
PE;26;609;2600609;Alagoinha;14798;14718;14636
PI;22;251;2200251;Alagoinha do Piauí;7678;7665;7651
BA;29;702;2900702;Alagoinhas;153023;152327;151596
SP;35;758;3500758;Alambari;6231;6129;6025
MG;31;1409;3101409;Albertina;3015;3011;3007
MA;21;204;2100204;Alcântara;22126;22112;22097
CE;23;507;2300507;Alcântaras;11846;11781;11714
PB;25;536;2500536;Alcantil;5527;5509;5492
MS;50;252;5000252;Alcinópolis;5489;5417;5343
BA;29;801;2900801;Alcobaça;22509;22490;22470
MA;21;303;2100303;Aldeias Altas;26979;26757;26532
RS;43;307;4300307;Alecrim;5710;5827;5950
ES;32;201;3200201;Alegre;29869;29975;30084
RS;43;406;4300406;Alegrete;72493;73028;73589
PI;22;277;2200277;Alegrete do Piauí;4921;4918;4915
RS;43;455;4300455;Alegria;3287;3374;3464
MG;31;1508;3101508;Além Paraíba;35438;35401;35362
PA;15;404;1500404;Alenquer;57390;57092;56789
RN;24;505;2400505;Alexandria;13529;13553;13577
GO;52;308;5200308;Alexânia;28360;28010;27653
MG;31;1607;3101607;Alfenas;80973;80494;79996
ES;32;300;3200300;Alfredo Chaves;14670;14636;14601
SP;35;808;3500808;Alfredo Marcondes;4201;4184;4166
MG;31;1631;3101631;Alfredo Vasconcelos;7052;6981;6907
SC;42;705;4200705;Alfredo Wagner;10136;10086;10036
PB;25;577;2500577;Algodão de Jandaíra;2588;2577;2567
PB;25;601;2500601;Alhandra;19865;19727;19588
PE;26;708;2600708;Aliança;38408;38397;38386
TO;17;350;1700350;Aliança do Tocantins;5303;5346;5390
BA;29;900;2900900;Almadina;5273;5366;5464
TO;17;400;1700400;Almas;6905;6979;7055
PA;15;503;1500503;Almeirim;34044;34076;34109
MG;31;1706;3101706;Almenara;42380;42143;41896
RN;24;604;2400604;Almino Afonso;4685;4710;4735
PR;41;400;4100400;Almirante Tamandaré;121420;120041;118623
RS;43;471;4300471;Almirante Tamandaré do Sul;1935;1949;1964
GO;52;506;5200506;Aloândia;1976;1986;1995
MG;31;1805;3101805;Alpercata;7448;7436;7424
RS;43;505;4300505;Alpestre;5885;6067;6258
MG;31;1904;3101904;Alpinópolis;20059;19958;19853
MT;51;250;5100250;Alta Floresta;52105;51959;51782
RO;11;15;1100015;Alta Floresta D'Oeste;22516;22728;22945
SP;35;907;3500907;Altair;4211;4186;4160
PA;15;602;1500602;Altamira;117320;115969;114594
MA;21;402;2100402;Altamira do Maranhão;8250;8189;8128
PR;41;459;4100459;Altamira do Paraná;1429;1682;1942
CE;23;606;2300606;Altaneira;7712;7650;7586
MG;31;2001;3102001;Alterosa;14566;14517;14466
PE;26;807;2600807;Altinho;22996;22984;22972
SP;35;1004;3501004;Altinópolis;16221;16203;16184
RR;14;50;1400050;Alto Alegre;15249;15380;15510
SP;35;1103;3501103;Alto Alegre;4078;4088;4099
RS;43;554;4300554;Alto Alegre;1590;1613;1638
MA;21;436;2100436;Alto Alegre do Maranhão;28066;27858;27053
MA;21;477;2100477;Alto Alegre do Pindaré;31967;31943;31919
RO;11;379;1100379;Alto Alegre dos Parecis;13268;13255;13241
MT;51;300;5100300;Alto Araguaia;19714;19385;19044
SC;42;754;4200754;Alto Bela Vista;1915;1926;1937
MT;51;359;5100359;Alto Boa Vista;7092;6936;6822
MG;31;2050;3102050;Alto Caparaó;5938;5894;5847
RN;24;703;2400703;Alto do Rodrigues;14923;14728;14529
RS;43;570;4300570;Alto Feliz;3043;3036;3028
MT;51;409;5100409;Alto Garças;12323;12151;12030
GO;52;555;5200555;Alto Horizonte;6796;6605;6414
MG;31;53509;3153509;Alto Jequitibá;8286;8301;8317
PI;22;301;2200301;Alto Longá;14371;14339;14304
MT;51;508;5100508;Alto Paraguai;11587;11473;11356
RO;11;403;1100403;Alto Paraíso;22258;21847;21428
PR;41;28625;4128625;Alto Paraíso;2630;2685;2741
GO;52;605;5200605;Alto Paraíso de Goiás;7751;7688;7624
PR;41;608;4100608;Alto Paraná;14945;14859;14770
MA;21;501;2100501;Alto Parnaíba;11233;11212;11190
PR;41;707;4100707;Alto Piquiri;9722;9778;9836
MG;31;2100;3102100;Alto Rio Doce;10723;10859;11000
ES;32;359;3200359;Alto Rio Novo;7911;7874;7836
CE;23;705;2300705;Alto Santo;16077;17196;17146
MT;51;607;5100607;Alto Taquari;11413;11133;10847
PR;41;509;4100509;Altônia;22293;22176;22056
PI;22;400;2200400;Altos;40681;40605;40524
SP;35;1152;3501152;Alumínio;18903;18767;18628
AM;13;29;1300029;Alvarães;16396;16220;16041
MG;31;2209;3102209;Alvarenga;3783;3844;3907
SP;35;1202;3501202;Álvares Florence;3616;3647;3679
SP;35;1301;3501301;Álvares Machado;25078;24998;24915
SP;35;1400;3501400;Álvaro de Carvalho;5320;5274;5227
SP;35;1509;3501509;Alvinlândia;3251;3237;3222
MG;31;2308;3102308;Alvinópolis;15135;15169;15203
TO;17;707;1700707;Alvorada;8381;8396;8412
RS;43;604;4300604;Alvorada;212352;211352;210305
MG;31;2407;3102407;Alvorada de Minas;3605;3605;3606
PI;22;459;2200459;Alvorada do Gurguéia;5469;5445;5419
GO;52;803;5200803;Alvorada do Norte;8749;8705;8660
PR;41;806;4100806;Alvorada do Sul;11598;11503;11406
RO;11;346;1100346;Alvorada D'Oeste;13807;14106;14411
RR;14;27;1400027;Amajari;13561;13185;12796
MS;50;609;5000609;Amambai;40247;39826;39396
AP;16;105;1600105;Amapá;9265;9187;9109
MA;21;550;2100550;Amapá do Maranhão;7047;7005;6962
PR;41;905;4100905;Amaporã;6405;6332;6257
PE;26;906;2600906;Amaraji;22910;22870;22829
RS;43;638;4300638;Amaral Ferrador;7136;7085;7031
GO;52;829;5200829;Amaralina;3875;3845;3812
PI;22;509;2200509;Amarante;17609;17604;17598
MA;21;600;2100600;Amarante do Maranhão;42017;41729;41435
BA;29;1007;2901007;Amargosa;37631;37441;37241
AM;13;60;1300060;Amaturá;11934;11736;11536
BA;29;1106;2901106;Amélia Rodrigues;24997;25048;25102
BA;29;1155;2901155;América Dourada;16086;16090;16094
SP;35;1608;3501608;Americana;244370;242018;239597
GO;52;852;5200852;Americano do Brasil;6220;6164;6111
SP;35;1707;3501707;Américo Brasiliense;41545;41032;40504
SP;35;1806;3501806;Américo de Campos;5993;5981;5969
RS;43;646;4300646;Ametista do Sul;7396;7403;7409
CE;23;754;2300754;Amontada;44195;43829;43452
GO;52;902;5200902;Amorinópolis;3011;3069;3126
PB;25;734;2500734;Amparo;2264;2251;2238
SP;35;1905;3501905;Amparo;73145;72677;72195
SE;28;100;2800100;Amparo do São Francisco;2386;2380;2374
MG;31;2506;3102506;Amparo do Serra;4643;4678;4713
PR;41;1002;4101002;Ampére;19466;19311;19152
AL;27;201;2700201;Anadia;17507;17526;17545
BA;29;1205;2901205;Anagé;21229;21607;17857
PR;41;1051;4101051;Anahy;2774;2788;2801
PA;15;701;1500701;Anajás;30091;29688;29277
MA;21;709;2100709;Anajatuba;27170;26988;26803
SP;35;2002;3502002;Analândia;5115;5056;4995
AM;13;86;1300086;Anamã;14292;13956;13614
TO;17;1002;1701002;Ananás;9435;9492;9549
PA;15;800;1500800;Ananindeua;540410;535547;530598
GO;52;1108;5201108;Anápolis;396526;391772;386923
PA;15;859;1500859;Anapu;29312;28607;27890
MA;21;808;2100808;Anapurus;16054;15894;15732
MS;50;708;5000708;Anastácio;25336;25237;25135
MS;50;807;5000807;Anaurilândia;9116;9076;9035
ES;32;409;3200409;Anchieta;30285;29779;29263
SC;42;804;4200804;Anchieta;5477;5557;5638
BA;29;1304;2901304;Andaraí;13122;13132;13143
PR;41;1101;4101101;Andirá;19823;19926;20031
BA;29;1353;2901353;Andorinha;14416;14503;14595
MG;31;2605;3102605;Andradas;41704;41396;41077
SP;35;2101;3502101;Andradina;57245;57202;57157
RS;43;661;4300661;André da Rocha;1351;1343;1333
MG;31;2803;3102803;Andrelândia;12189;12206;12224
SP;35;2200;3502200;Angatuba;25724;25479;25228
MG;31;2852;3102852;Angelândia;8594;8557;8520
MS;50;856;5000856;Angélica;11081;10932;10780
PE;26;1003;2601003;Angelim;11301;11226;11150
SC;42;903;4200903;Angelina;4686;4743;4801
BA;29;1403;2901403;Angical;13902;13938;13977
PI;22;608;2200608;Angical do Piauí;6779;6783;6788
TO;17;1051;1701051;Angico;3475;3454;3433
RN;24;802;2400802;Angicos;11695;11705;11714
RJ;33;100;3300100;Angra dos Reis;210171;207044;203785
BA;29;1502;2901502;Anguera;11369;11297;11221
PR;41;1150;4101150;Ângulo;2931;2930;2928
GO;52;1207;5201207;Anhanguera;1171;1160;1149
SP;35;2309;3502309;Anhembi;6911;6819;6724
SP;35;2408;3502408;Anhumas;4172;4144;4115
GO;52;1306;5201306;Anicuns;22113;21981;21850
PI;22;707;2200707;Anísio de Abreu;9994;9938;9880
SC;42;1000;4201000;Anita Garibaldi;6783;6957;7133
SC;42;1109;4201109;Anitápolis;3223;3228;3232
AM;13;102;1300102;Anori;21937;21477;21010
RS;43;703;4300703;Anta Gorda;5941;5961;5981
BA;29;1601;2901601;Antas;19659;19479;19291
PR;41;1200;4101200;Antonina;18919;18949;18980
CE;23;804;2300804;Antonina do Norte;7402;7378;7353
PI;22;806;2200806;Antônio Almeida;3175;3170;3164
BA;29;1700;2901700;Antônio Cardoso;11670;11677;11683
MG;31;2902;3102902;Antônio Carlos;11471;11459;11445
SC;42;1208;4201208;Antônio Carlos;8712;8613;8513
MG;31;3009;3103009;Antônio Dias;9233;9275;9318
BA;29;1809;2901809;Antônio Gonçalves;11955;11878;11798
MS;50;906;5000906;Antônio João;9082;9020;8956
RN;24;901;2400901;Antônio Martins;7162;7154;7145
PR;41;1309;4101309;Antônio Olinto;7421;7427;7434
RS;43;802;4300802;Antônio Prado;13041;13045;13050
MG;31;3108;3103108;Antônio Prado de Minas;1577;1587;1598
PB;25;775;2500775;Aparecida;8482;8416;8347
SP;35;2507;3502507;Aparecida;36211;36185;36157
GO;52;1405;5201405;Aparecida de Goiânia;601844;590146;578179
GO;52;1454;5201454;Aparecida do Rio Doce;2474;2474;2474
TO;17;1101;1701101;Aparecida do Rio Negro;4901;4848;4795
MS;50;1003;5001003;Aparecida do Taboado;26386;26069;25745
SP;35;2606;3502606;Aparecida d'Oeste;4122;4158;4196
RJ;33;159;3300159;Aperibé;12036;11901;11759
ES;32;508;3200508;Apiacá;7542;7554;7567
MT;51;805;5100805;Apiacás;10431;10283;10133
SP;35;2705;3502705;Apiaí;24081;24226;24374
MA;21;832;2100832;Apicum-Açu;17582;17413;17239
SC;42;1257;4201257;Apiúna;10951;10848;10743
RN;24;1008;2401008;Apodi;35904;35874;35845
BA;29;1908;2901908;Aporá;17840;17788;17731
GO;52;1504;5201504;Aporé;4266;4232;4198
BA;29;1957;2901957;Apuarema;7274;7302;7330
PR;41;1408;4101408;Apucarana;137438;136234;134996
AM;13;144;1300144;Apuí;22739;22359;21973
CE;23;903;2300903;Apuiarés;14742;14672;14600
SE;28;209;2800209;Aquidabã;21796;21681;21563
MS;50;1102;5001102;Aquidauana;48184;48029;47871
CE;23;1000;2301000;Aquiraz;81581;80935;80271
SC;42;1273;4201273;Arabutã;4268;4267;4267
PB;25;809;2500809;Araçagi;16857;16921;16987
MG;31;3207;3103207;Araçaí;2360;2354;2347
SE;28;308;2800308;Aracaju;672614;664908;657013
SP;35;2754;3502754;Araçariguama;23343;22860;22364
BA;29;2054;2902054;Araçás;12237;12208;12177
CE;23;1109;2301109;Aracati;75392;74975;74547
BA;29;2005;2902005;Aracatu;12960;13045;13135
SP;35;2804;3502804;Araçatuba;199210;198129;197016
BA;29;2104;2902104;Araci;54903;54648;54379
MG;31;3306;3103306;Aracitaba;2056;2059;2063
CE;23;1208;2301208;Aracoiaba;26600;26535;26469
PE;26;1052;2601052;Araçoiaba;20936;20733;20524
SP;35;2903;3502903;Araçoiaba da Serra;35389;34776;34146
ES;32;607;3200607;Aracruz;104942;103101;101220
GO;52;1603;5201603;Araçu;3450;3486;3522
MG;31;3405;3103405;Araçuaí;36715;36712;36708
GO;52;1702;5201702;Aragarças;20410;20273;20118
GO;52;1801;5201801;Aragoiânia;10680;10496;10308
TO;17;1309;1701309;Aragominas;5705;5731;5758
TO;17;1903;1701903;Araguacema;7223;7155;7086
TO;17;2000;1702000;Araguaçu;8418;8467;8517
MT;51;1001;5101001;Araguaiana;3064;3109;3100
TO;17;2109;1702109;Araguaína;186245;183381;180470
MT;51;1209;5101209;Araguainha;909;946;935
TO;17;2158;1702158;Araguanã;5856;5793;5729
MA;21;873;2100873;Araguanã;15675;15551;15426
GO;52;2155;5202155;Araguapaz;7795;7783;7770
