uf;ibge;municipio;2021;2020;nome_teste;2019;teste
GO;5200050;Abadia de Goiás;9158;8958;Abadia de Goiás;8773;certo
MG;3100104;Abadia dos Dourados;7022;7006;Abadia dos Dourados;6989;certo
GO;5200100;Abadiânia;20873;20461;Abadiânia;20042;certo
MG;3100203;Abaeté;23263;23250;Abaeté;23237;certo
PA;1500107;Abaetetuba;160439;159080;Abaetetuba;157698;certo
CE;2300101;Abaiara;11965;11853;Abaiara;11737;certo
BA;2900108;Abaíra;8681;8710;Abaíra;8739;certo
BA;2900207;Abaré;20594;20347;Abaré;20086;certo
PR;4100103;Abatiá;7360;7408;Abatiá;7457;certo
SC;4200051;Abdon Batista;2534;2548;Abdon Batista;2563;certo
PA;1500131;Abel Figueiredo;7536;7486;Abel Figueiredo;7434;certo
SC;4200101;Abelardo Luz;18015;17960;Abelardo Luz;17904;certo
MG;3100302;Abre Campo;13434;13444;Abre Campo;13454;certo
PE;2600054;Abreu e Lima;100698;100346;Abreu e Lima;99990;certo
TO;1700251;Abreulândia;2609;2594;Abreulândia;2579;certo
MG;3100401;Acaiaca;3995;3994;Acaiaca;3994;certo
MA;2100055;Açailândia;113783;113121;Açailândia;112445;certo
BA;2900306;Acajutiba;15214;15187;Acajutiba;15159;certo
PA;1500206;Acará;55744;55669;Acará;55591;certo
CE;2300150;Acarape;15140;15036;Acarape;14929;certo
CE;2300200;Acaraú;63556;63104;Acaraú;62641;certo
RN;2400109;Acari;11106;11121;Acari;11136;certo
PI;2200053;Acauã;7119;7102;Acauã;7084;certo
RS;4300034;Aceguá;4981;4942;Aceguá;4901;certo
CE;2300309;Acopiara;54687;54481;Acopiara;54270;certo
MT;5100102;Acorizal;5309;5334;Acorizal;5399;certo
AC;1200013;Acrelândia;15721;15490;Acrelândia;15256;certo
GO;5200134;Acreúna;22710;22546;Acreúna;22366;certo
RN;2400208;Açu;58743;58384;Açu;58017;certo
MG;3100500;Açucena;9270;9368;Açucena;9470;certo
SP;3500105;Adamantina;35153;35111;Adamantina;35068;certo
GO;5200159;Adelândia;2515;2516;Adelândia;2516;certo
SP;3500204;Adolfo;3545;3554;Adolfo;3562;certo
PR;4100202;Adrianópolis;5797;5857;Adrianópolis;5919;certo
BA;2900355;Adustina;17209;17126;Adustina;17040;certo
PE;2600104;Afogados da Ingazeira;37546;37404;Afogados da Ingazeira;37259;certo
RN;2400307;Afonso Bezerra;11024;11029;Afonso Bezerra;11035;certo
ES;3200102;Afonso Cláudio;30326;30455;Afonso Cláudio;30586;certo
MA;2100105;Afonso Cunha;6631;6578;Afonso Cunha;6524;certo
PE;2600203;Afrânio;19981;19810;Afrânio;19635;certo
PA;1500305;Afuá;39910;39567;Afuá;39218;certo
PE;2600302;Agrestina;25240;25065;Agrestina;24885;certo
PI;2200103;Agricolândia;5123;5131;Agricolândia;5139;certo
SC;4200200;Agrolândia;11160;11013;Agrolândia;10864;certo
SC;4200309;Agronômica;5570;5509;Agronômica;5448;certo
PA;1500347;Água Azul do Norte;27797;27615;Água Azul do Norte;27430;certo
MG;3100609;Água Boa;13319;13523;Água Boa;13735;certo
MT;5100201;Água Boa;26679;26204;Água Boa;25721;certo
PI;2200202;Água Branca;17525;17470;Água Branca;17411;certo
PB;2500106;Água Branca;10375;10306;Água Branca;10234;certo
AL;2700102;Água Branca;20263;20230;Água Branca;20196;certo
MS;5000203;Água Clara;16025;15776;Água Clara;15522;certo
MG;3100708;Água Comprida;1986;1992;Água Comprida;1999;certo
SC;4200408;Água Doce;7160;7152;Água Doce;7145;certo
MA;2100154;Água Doce do Maranhão;12731;12652;Água Doce do Maranhão;12571;certo
ES;3200169;Água Doce do Norte;10801;10909;Água Doce do Norte;11019;certo
BA;2900405;Água Fria;17096;17033;Água Fria;16970;certo
GO;5200175;Água Fria de Goiás;5843;5793;Água Fria de Goiás;5735;certo
GO;5200209;Água Limpa;1809;1830;Água Limpa;1850;certo
RN;2400406;Água Nova;3293;3272;Água Nova;3252;certo
PE;2600401;Água Preta;37386;37082;Água Preta;36771;certo
RS;4300059;Água Santa;3738;3743;Água Santa;3748;certo
SP;3500303;Aguaí;36981;36648;Aguaí;36305;certo
MG;3100807;Aguanil;4557;4522;Aguanil;4486;certo
PE;2600500;Águas Belas;43923;43686;Águas Belas;43443;certo
SP;3500402;Águas da Prata;8262;8221;Águas da Prata;8180;certo
SC;4200507;Águas de Chapecó;6544;6515;Águas de Chapecó;6486;certo
SP;3500501;Águas de Lindóia;18908;18808;Águas de Lindóia;18705;certo
SP;3500550;Águas de Santa Bárbara;6142;6109;Águas de Santa Bárbara;6075;certo
SP;3500600;Águas de São Pedro;3588;3521;Águas de São Pedro;3451;certo
MG;3100906;Águas Formosas;19285;19247;Águas Formosas;19207;certo
SC;4200556;Águas Frias;2341;2354;Águas Frias;2366;certo
GO;5200258;Águas Lindas de Goiás;222850;217698;Águas Lindas de Goiás;212440;certo
SC;4200606;Águas Mornas;6646;6559;Águas Mornas;6469;certo
MG;3101003;Águas Vermelhas;13656;13599;Águas Vermelhas;13539;certo
RS;4300109;Agudo;16344;16401;Agudo;16461;certo
SP;3500709;Agudos;37582;37401;Agudos;37214;certo
PR;4100301;Agudos do Sul;9567;9470;Agudos do Sul;9371;certo
ES;3200136;Águia Branca;9621;9631;Águia Branca;9642;certo
PB;2500205;Aguiar;5622;5630;Aguiar;5640;certo
TO;1700301;Aguiarnópolis;7049;6892;Aguiarnópolis;6733;certo
MG;3101102;Aimorés;25116;25141;Aimorés;25167;certo
BA;2900603;Aiquara;4387;4416;Aiquara;4446;certo
CE;2300408;Aiuaba;17584;17493;Aiuaba;17399;certo
MG;3101201;Aiuruoca;5949;5976;Aiuruoca;6003;certo
RS;4300208;Ajuricaba;6951;6987;Ajuricaba;7024;certo
MG;3101300;Alagoa;2657;2665;Alagoa;2674;certo
