uf;uf_nome;0 a 4 anos;5 a 9 anos;Até 9 anos;10 a 14 anos;15 a 19 anos;Entre 10 e 19 anos;Entre 20 e 29 anos;Entre 30 e 39 anos;Entre 40 e 49 anos;Entre 50 e 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Acima de 60 anos
11;Rondônia;63773;67142;130915;72036;78230;150266;160132;161285;131678;96378;57414;24642;9038;91094
12;Acre;39368;41612;80980;43147;43750;86897;79577;66654;52268;34083;20599;10478;4912;35989
13;Amazonas;182364;194011;376375;201854;205900;407754;398845;339142;266488;171452;102899;46731;20739;170369
14;Roraima;23101;24627;47728;25915;27334;53249;52799;43989;31861;21520;13114;5081;1745;19940
15;Pará;344542;368569;713111;388637;399145;787782;764581;704751;550784;374379;238976;118799;53021;410796
16;Amapá;36580;39074;75654;42365;45370;87735;82086;66880;51341;32229;18393;8059;3661;30113
17;Tocantins;59262;63773;123035;68700;72509;141209;138697;132922;105166;74941;47880;24950;11462;84292
21;Maranhão;288738;316413;605151;341672;339388;681060;595627;608864;452962;306912;206323;112548;62492;381363
22;Piauí;107891;118069;225960;132831;141600;274431;250663;281832;232547;174904;124197;68846;32655;225698
23;Ceará;311115;330879;641994;356319;382226;738545;775453;784008;633304;503205;337643;201243;107515;646401
24;Rio Grande do Norte;118796;126059;244855;136027;146414;282441;290868;306745;250509;206438;134134;82870;45123;262127
25;Paraíba;137754;150317;288071;163602;168530;332132;319248;352761;297529;231828;157184;98928;52099;308211
26;Pernambuco;323025;346769;669794;377594;403234;780828;783116;803474;709702;553747;379907;221589;112143;713639
27;Alagoas;125571;135394;260965;147620;155303;302923;291950;284715;240660;178324;118123;64823;31939;214885
28;Sergipe;81650;86116;167766;93890;104195;198085;206633;202920;169531;127866;81018;44067;21188;146273
29;Bahia;509645;549755;1059400;590979;611633;1202612;1217330;1341125;1149044;846238;589163;338892;187437;1115492
31;Minas Gerais;619150;660695;1279845;709992;767597;1477589;1615804;1724884;1551125;1321617;1004573;558974;310274;1873821
32;Espírito Santo;125296;133737;259033;143429;153760;297189;325669;338446;299187;244527;183170;94661;53683;331514
33;Rio de Janeiro;473040;494772;967812;525958;580827;1106785;1300685;1273510;1259300;1116403;924950;526910;296261;1748121
35;São Paulo;1316566;1380688;2697254;1475750;1623492;3099242;3479526;3669525;3449236;2933528;2264877;1259379;673652;4197908
41;Paraná;339730;360732;700462;386736;420014;806750;895261;909270;829117;747852;545120;301874;150102;997096
42;Santa Catarina;212452;222732;435184;234555;254159;488714;580227;594808;503081;455656;334170;180138;92910;607218
43;Rio Grande do Sul;308726;324106;632832;346035;382258;728293;828173;868739;785833;759486;638273;379797;213544;1231614
50;Mato Grosso do Sul;94493;100558;195051;105779;109638;215417;222628;225112;194664;161007;112784;58410;27958;199152
51;Mato Grosso;118138;125726;243864;132949;139169;272118;280752;282236;242850;189216;120608;56741;23330;200679
52;Goiás;216609;229497;446106;248854;278659;527513;586320;577003;522243;414227;274327;137423;60163;471913
53;Distrito Federal;105116;101471;206587;103760;119531;223291;303360;303131;273533;198455;123870;70031;33650;227551
